hourID,startHomeFirstProb,startHomeNotFirstProb,startOfficeProb,endHomeLastProb,endOfficeLastProb,endHomeNotLastProb,endOfficeNotLastProb,firstTripProb,lastTripProb,logDayDistMean,logDayDistStd,cumTripFracArrive,cumTripFracDepart
0,0.19035747133467842,0.06637026782332767,0.2700714661048246,0.937985732775356,0.01633597053989383,0.49420436194031286,0.006942220201688981,0.011238402565011393,0.6224086855553325,2.968159371302382,1.279605421438835,0.996089206347478,0.9970225474280567
1,0.3186407083662857,0.03781199034811283,0.2104265429665887,0.9449869936011098,0.012021845209291766,0.47653642603657165,0.0,0.04071719659373608,0.7158127017622933,3.5171474361350197,1.3134563589408526,0.9979181297535025,0.9988359380100147
2,0.0,0.05956878351677478,0.21938288037122816,0.841198642238048,0.014413718040413595,0.673172082682029,0.0,0.0016031201958662024,0.6577783536671306,3.157450639860331,1.8044866186429969,0.9995077037900735,0.999732741015237
3,0.0,0.21297450431383536,0.1815338164189834,0.8449462651358182,0.13459448669571272,0.35527462214127037,0.0,0.0,0.875190041894195,3.2642390326004462,1.2071249756952405,0.9999999999999999,0.9999999999999999
4,0.9406766767489061,0.478602551822332,0.02726326543388094,0.0,0.10356607550939455,0.0642190739571755,0.6341995133969541,0.8584862179453029,0.00432425104099223,2.1155714449144174,1.341724071935546,0.0022701531590417325,0.004449352575447968
5,0.9410023344281127,0.4032070667093962,0.024757500856973716,0.39392931415260185,0.426715603715998,0.0566207243237421,0.5887167458861092,0.8056911143169809,0.021140177468730283,2.1407273143392405,1.5067825481142825,0.010939197582497583,0.01669536140801425
6,0.9413677051023663,0.48751014414461113,0.025720606702950757,0.3740032448817203,0.42981653483959376,0.08645589721407963,0.48784088957677013,0.6938209358585242,0.02728197844672165,1.7071435412006064,1.6330553331472601,0.03572918322248055,0.05237058711376319
7,0.9608931574466704,0.47147655757325346,0.014871852258872014,0.38923755191954273,0.297454843917579,0.07735413635613067,0.30749145051401106,0.47809962940474104,0.01736653792027225,1.5725784456676637,1.3245467266049031,0.113632933624005,0.13815125677517753
8,0.9574726990745458,0.3527646285595015,0.018981067225707273,0.6709580432194221,0.192785769105072,0.11339296813400174,0.3130086737107325,0.46944899953272523,0.024278699032522926,1.8734526018595448,1.2901943631708133,0.17675279365340324,0.1939491771685427
9,0.9449987501556117,0.3046008455549356,0.0284146190083858,0.8180090182786576,0.05506333397567979,0.11957973854926195,0.18003749523580218,0.40158842551735696,0.036569459752441316,2.0090724184576576,1.278044816719595,0.22839436143520778,0.24417245264328347
10,0.9420430380804512,0.2428801364837577,0.029911087645500357,0.9029963468455696,0.019640560259214263,0.15884358056266767,0.0760640975071534,0.27864769230330405,0.060596544815008445,2.15234016901599,1.3343574711421267,0.2845998505501191,0.3008790746770919
11,0.9262238755087028,0.17742463613474296,0.079011759527098,0.9316789345544257,0.008288172064645605,0.19631252285730125,0.05665654627475803,0.16016899710514765,0.08430024977578493,2.3061533638074474,1.3008213834059266,0.3447927598008317,0.3640956479391958
12,0.9058477459205547,0.1583689121257244,0.09443396820434877,0.9271998429670316,0.012288246795628762,0.24468309285697826,0.08075764497848029,0.09998438310765492,0.10391278441222335,2.3508959118420325,1.3659823159553275,0.4147144316932758,0.4347274358327678
13,0.933913821091408,0.19803027024373024,0.06529566660265855,0.9394420713870082,0.006173614425007616,0.1995934505759115,0.11854202678897373,0.10531452451065146,0.11002435715725174,2.644156522026197,1.4240759243901633,0.47883134786822634,0.49645219746124425
14,0.9184492890546622,0.2197292456128595,0.08632364261712695,0.9482096908522142,0.015519803461546853,0.23438849688543426,0.07184642631032838,0.08807819442010964,0.14385627662735204,2.725759099950435,1.375534959333756,0.540139535983861,0.5600058591034884
15,0.9014067978056923,0.1667473384032985,0.12495288519113046,0.9532707908298723,0.007133461461271997,0.3019548696305411,0.04109152207375819,0.05211241806068313,0.1910911416373359,2.785882334329105,1.3238250059400887,0.6126049966742095,0.6379437781625391
16,0.8915540611568569,0.18233428198161927,0.21471566556543933,0.9613239379410452,0.006702706604061421,0.31098687205861864,0.04016123683966896,0.042272424232562306,0.2562593496129723,2.8092777728922735,1.273545359795749,0.6913351629314021,0.7182988237364691
17,0.82559831702431,0.20196221087883295,0.2732065899466886,0.9533301739602899,0.01508828001664765,0.27441114042819476,0.025416772039091165,0.036385797617242886,0.31952369484285725,2.7153691162742586,1.3329897247965845,0.7766375681526709,0.8028099402473604
18,0.8586400679183696,0.26673855214096726,0.15393062027268278,0.9569568200309906,0.015348174676367623,0.24975042125781816,0.013270503084561692,0.03726998275840158,0.33592260568123966,2.9044569338902417,1.297992310610052,0.8516777204888203,0.8691493751677369
19,0.7822932298632734,0.20754349699783342,0.1001355052077343,0.9531546376447387,0.006754761947387144,0.2727667967086517,0.004146393660885853,0.023485931423993404,0.35432730118382016,3.0667534832847116,1.2860588718216277,0.9037361086478974,0.9151812015514639
20,0.8022583331424246,0.15581311061999398,0.07203759594270458,0.9575346785497114,0.007808461785838827,0.3908100679372491,0.008013246591722105,0.017644155227615203,0.40343197113831425,3.2178098632444216,1.2571667220698715,0.9405943126549675,0.9488527167667052
21,0.6167868192763794,0.12079062282380247,0.09753945714057385,0.924448151055048,0.03602305618732098,0.4516144120616742,0.007505337001500729,0.0193924659304468,0.46881691220340627,3.31290628293137,1.3383106239170677,0.9669559164062436,0.9730351958689029
22,0.4513900470534795,0.11418446835914073,0.18600555176620331,0.9160822852400232,0.03027725198798421,0.4769639422747955,0.016663887807751493,0.01499923951959567,0.5271990024021866,3.21446386411888,1.413240380208177,0.9834684920307378,0.9870206577609314
23,0.7982659858196711,0.05913172110301527,0.26741557537363314,0.9043407202251855,0.03554250355680605,0.5202185232458517,0.009213761642853244,0.007938932997774142,0.6318698003253604,2.9818784313674227,1.3516639042187584,0.9923895069586938,0.9943905434459747
